start_station_name,count,month,station_name,lat,lng
Bloomfield St & 15 St,600,2,Bloomfield St & 15 St,40.75427980769925,-74.02668961464859
Adams St & 11 St,599,06,Adams St & 11 St,40.75062522280299,-74.03365670010464
Madison St & 10 St,596,2,Madison St & 10 St,40.749934313580475,-74.03584487615377
Van Vorst Park,595,2,Van Vorst Park,40.718496988151514,-74.04770481191841
Morris Canal,592,12,Morris Canal,40.71241248110083,-74.0384548962102
Bloomfield St & 15 St,592,01,Bloomfield St & 15 St,40.75427980769925,-74.02668961464859
6 St & Grand St,592,01,6 St & Grand St,40.74428535316844,-74.0344713816858
Christ Hospital,590,08,Christ Hospital,40.73473786881123,-74.05036350477837
Brunswick St,589,01,Brunswick St,40.72415242279286,-74.0506048307782
Bergen Ave,583,07,Bergen Ave,40.722113886382836,-74.07141210344984
McGinley Square,581,12,McGinley Square,40.72544559418715,-74.06739699277406
Jersey & 6th St,579,06,Jersey & 6th St,40.72529429161702,-74.04552473075975
Fairmount Ave,578,07,Fairmount Ave,40.725731334817524,-74.07171705154973
2 St & Park Ave,573,12,2 St & Park Ave,40.739109011085155,-74.03307036559706
Stevens - River Ter & 6 St,572,01,Stevens - River Ter & 6 St,40.74311452990461,-74.02704365017807
Willow Ave & 12 St,567,2,Willow Ave & 12 St,40.75167769570031,-74.0304267232573
Lincoln Park,565,07,Lincoln Park,40.72465254456894,-74.07829802469283
Hilltop,563,06,Hilltop,40.73112283846063,-74.05748458083639
Paulus Hook,561,01,Paulus Hook,40.71421012369458,-74.03361277592583
Marshall St & 2 St,561,2,Marshall St & 2 St,40.74065719896132,-74.04254194960662
Grand St,560,2,Grand St,40.715202463240296,-74.03772348072407
Grand St & 14 St,559,2,Grand St & 14 St,40.75384166419778,-74.03165720871478
Christ Hospital,558,07,Christ Hospital,40.73473786881123,-74.05036350477837
Oakland Ave,555,06,Oakland Ave,40.73742057858394,-74.05223238649396
Leonard Gordon Park,555,07,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Southwest Park - Jackson St & Observer Hwy,549,2,Southwest Park - Jackson St & Observer Hwy,40.737566782311454,-74.04168423787472
Brunswick & 6th,547,12,Brunswick & 6th,40.726048309899845,-74.05038495967118
Morris Canal,547,01,Morris Canal,40.71241248110083,-74.0384548962102
Brunswick & 6th,542,2,Brunswick & 6th,40.726048309899845,-74.05038495967118
6 St & Grand St,541,2,6 St & Grand St,40.74428535316844,-74.0344713816858
Lincoln Park,541,08,Lincoln Park,40.72465254456894,-74.07829802469283
JC Medical Center,540,12,JC Medical Center,40.71541364792877,-74.0496628961732
Communipaw & Berry Lane,537,08,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Jersey & 3rd,533,01,Jersey & 3rd,40.72328296691016,-74.04588317048338
Leonard Gordon Park,532,08,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Fairmount Ave,531,06,Fairmount Ave,40.725731334817524,-74.07171705154973
Jersey & 3rd,528,12,Jersey & 3rd,40.72328296691016,-74.04588317048338
Lafayette Park,518,01,Lafayette Park,40.71356366414796,-74.06269593775293
Journal Square,518,12,Journal Square,40.73370147975818,-74.06248309622188
Communipaw & Berry Lane,517,07,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Lafayette Park,515,12,Lafayette Park,40.71356366414796,-74.06269593775293
Baldwin at Montgomery,514,01,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
JC Medical Center,512,01,JC Medical Center,40.71541364792877,-74.0496628961732
Lincoln Park,512,06,Lincoln Park,40.72465254456894,-74.07829802469283
Journal Square,509,2,Journal Square,40.73370147975818,-74.06248309622188
Jersey & 3rd,504,2,Jersey & 3rd,40.72328296691016,-74.04588317048338
Heights Elevator,489,07,Heights Elevator,40.74853453117808,-74.04047484994652
Paulus Hook,475,2,Paulus Hook,40.71421012369458,-74.03361277592583
Bergen Ave,472,06,Bergen Ave,40.722113886382836,-74.07141210344984
Baldwin at Montgomery,471,12,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
Brunswick St,470,2,Brunswick St,40.72415242279286,-74.0506048307782
JC Medical Center,469,2,JC Medical Center,40.71541364792877,-74.0496628961732
Morris Canal,462,2,Morris Canal,40.71241248110083,-74.0384548962102
Bergen Ave,459,01,Bergen Ave,40.722113886382836,-74.07141210344984
Fairmount Ave,454,12,Fairmount Ave,40.725731334817524,-74.07171705154973
Hilltop,453,01,Hilltop,40.73112283846063,-74.05748458083639
Columbus Park - Clinton St & 9 St,453,01,Columbus Park - Clinton St & 9 St,40.748128528161715,-74.03245559550571
Leonard Gordon Park,453,06,Leonard Gordon Park,40.74581314610354,-74.05712344428738
York St & Marin Blvd,450,06,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Communipaw & Berry Lane,446,06,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Lafayette Park,442,2,Lafayette Park,40.71356366414796,-74.06269593775293
Mama Johnson Field - 4 St & Jackson St,441,12,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Monmouth and 6th,440,01,Monmouth and 6th,40.725650437594304,-74.04880466149685
Bergen Ave,438,2,Bergen Ave,40.722113886382836,-74.07141210344984
Fairmount Ave,435,01,Fairmount Ave,40.725731334817524,-74.07171705154973
Glenwood Ave,434,08,Glenwood Ave,40.72752725314292,-74.07095047598266
Bergen Ave,433,12,Bergen Ave,40.722113886382836,-74.07141210344984
Baldwin at Montgomery,430,2,Baldwin at Montgomery,40.723634810759336,-74.06412565264972
Dixon Mills,429,12,Dixon Mills,40.72163707324207,-74.0499976669622
Riverview Park,428,12,Riverview Park,40.744333133203085,-74.04389795081839
Heights Elevator,427,06,Heights Elevator,40.74853453117808,-74.04047484994652
York St & Marin Blvd,427,08,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Astor Place,426,08,Astor Place,40.71929424516937,-74.07113886669298
Heights Elevator,425,08,Heights Elevator,40.74853453117808,-74.04047484994652
Montgomery St,421,01,Montgomery St,40.719435761104926,-74.05097653528063
Dixon Mills,421,01,Dixon Mills,40.72163707324207,-74.0499976669622
Christ Hospital,420,06,Christ Hospital,40.73473786881123,-74.05036350477837
14 St Ferry - 14 St & Shipyard Ln,418,07,14 St Ferry - 14 St & Shipyard Ln,40.75265636635399,-74.02432327947906
Astor Place,418,07,Astor Place,40.71929424516937,-74.07113886669298
Jersey & 6th St,416,12,Jersey & 6th St,40.72529429161702,-74.04552473075975
York St & Marin Blvd,413,07,York St & Marin Blvd,40.71663153911145,-74.04237672871551
Glenwood Ave,413,07,Glenwood Ave,40.72752725314292,-74.07095047598266
Monmouth and 6th,407,2,Monmouth and 6th,40.725650437594304,-74.04880466149685
Montgomery St,407,12,Montgomery St,40.719435761104926,-74.05097653528063
Adams St & 11 St,404,01,Adams St & 11 St,40.75062522280299,-74.03365670010464
Hilltop,402,2,Hilltop,40.73112283846063,-74.05748458083639
5 Corners Library,400,07,5 Corners Library,40.73488147223507,-74.05951305622865
Jersey & 6th St,397,2,Jersey & 6th St,40.72529429161702,-74.04552473075975
Dixon Mills,394,2,Dixon Mills,40.72163707324207,-74.0499976669622
Pershing Field,384,12,Pershing Field,40.742582469861766,-74.05176521119354
5 Corners Library,384,08,5 Corners Library,40.73488147223507,-74.05951305622865
Oakland Ave,384,01,Oakland Ave,40.73742057858394,-74.05223238649396
Paulus Hook,382,12,Paulus Hook,40.71421012369458,-74.03361277592583
Oakland Ave,380,12,Oakland Ave,40.73742057858394,-74.05223238649396
Riverview Park,379,2,Riverview Park,40.744333133203085,-74.04389795081839
Monmouth and 6th,377,12,Monmouth and 6th,40.725650437594304,-74.04880466149685
Mama Johnson Field - 4 St & Jackson St,376,01,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Pershing Field,371,01,Pershing Field,40.742582469861766,-74.05176521119354
Dey St,370,08,Dey St,40.737673526096245,-74.06690925813731
Jersey & 6th St,361,01,Jersey & 6th St,40.72529429161702,-74.04552473075975
Christ Hospital,354,12,Christ Hospital,40.73473786881123,-74.05036350477837
Oakland Ave,353,2,Oakland Ave,40.73742057858394,-74.05223238649396
Adams St & 11 St,350,2,Adams St & 11 St,40.75062522280299,-74.03365670010464
Astor Place,348,06,Astor Place,40.71929424516937,-74.07113886669298
Riverview Park,347,01,Riverview Park,40.744333133203085,-74.04389795081839
Pershing Field,347,2,Pershing Field,40.742582469861766,-74.05176521119354
Fairmount Ave,344,2,Fairmount Ave,40.725731334817524,-74.07171705154973
Essex Light Rail,342,12,Essex Light Rail,40.71282542409364,-74.03647353437131
5 Corners Library,325,06,5 Corners Library,40.73488147223507,-74.05951305622865
Montgomery St,324,2,Montgomery St,40.719435761104926,-74.05097653528063
Leonard Gordon Park,320,01,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Essex Light Rail,320,08,Essex Light Rail,40.71282542409364,-74.03647353437131
Glenwood Ave,316,01,Glenwood Ave,40.72752725314292,-74.07095047598266
Christ Hospital,314,2,Christ Hospital,40.73473786881123,-74.05036350477837
Hilltop,313,12,Hilltop,40.73112283846063,-74.05748458083639
Essex Light Rail,313,2,Essex Light Rail,40.71282542409364,-74.03647353437131
Leonard Gordon Park,310,12,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Christ Hospital,310,01,Christ Hospital,40.73473786881123,-74.05036350477837
Mama Johnson Field - 4 St & Jackson St,299,2,Mama Johnson Field - 4 St & Jackson St,40.74309052454557,-74.03999713177699
Leonard Gordon Park,294,2,Leonard Gordon Park,40.74581314610354,-74.05712344428738
Essex Light Rail,288,01,Essex Light Rail,40.71282542409364,-74.03647353437131
Dey St,284,07,Dey St,40.737673526096245,-74.06690925813731
Glenwood Ave,281,06,Glenwood Ave,40.72752725314292,-74.07095047598266
Astor Place,272,01,Astor Place,40.71929424516937,-74.07113886669298
Glenwood Ave,264,2,Glenwood Ave,40.72752725314292,-74.07095047598266
Glenwood Ave,257,12,Glenwood Ave,40.72752725314292,-74.07095047598266
Communipaw & Berry Lane,251,12,Communipaw & Berry Lane,40.714411641561675,-74.06655785278546
Heights Elevator,244,01,Heights Elevator,40.74853453117808,-74.04047484994652
Astor Place,242,12,Astor Place,40.71929424516937,-74.07113886669298
Dey St,240,06,Dey St,40.737673526096245,-74.06690925813731
5 Corners Library,228,01,5 Corners Library,40.73488147223507,-74.05951305622865
Astor Place,225,2,Astor Place,40.71929424516937,-74.07113886669298
