end_station_name,count,month,station_name,lat,lng
E 4 St & 2 Ave,1,07,E 4 St & 2 Ave,40.7310711,-74.06444608333334
E 16 St & 5 Ave,1,07,E 16 St & 5 Ave,40.73767578333333,-74.05254506666667
8 Ave & W 33 St,1,06,8 Ave & W 33 St,40.76159938333333,-74.03773895
Catherine St & Monroe St,1,07,Catherine St & Monroe St,40.7310711,-74.06444608333334
6 Ave & W 34 St,1,07,6 Ave & W 34 St,40.71599065,-74.06153856666667
Catherine St & Monroe St,1,06,Catherine St & Monroe St,40.7310711,-74.06444608333334
W 34 St & 11 Ave,1,08,W 34 St & 11 Ave,40.7310711,-74.06444608333334
Water St &  Fletcher St,1,01,Water St &  Fletcher St,40.7442733,-74.03436505
Christopher St & Greenwich St,1,12,Christopher St & Greenwich St,40.7310711,-74.06444608333334
W 41 St & 8 Ave,1,07,W 41 St & 8 Ave,40.7574643,-74.03643093333334
W 41 St & 8 Ave,1,12,W 41 St & 8 Ave,40.7574643,-74.03643093333334
Water St &  Fletcher St,1,2,Water St &  Fletcher St,40.7442733,-74.03436505
